real_id,nb_assigned_ids,nb_original_fp,ratio,max_chain
7fd39831-e264-4ed0-a0b6-8d05bbcbb38c,1,1,1.000000,1
c17f5405-360e-43d7-9b50-bccf6faf2207,2,28,14.000000,19
299be603-a667-4e4b-9287-3e88c441d26c,2,12,6.000000,10
907af844-581a-4044-8ddb-8bcc91df32f9,2,25,12.500000,18
f2d0957c-12af-426d-8d09-fdbbb4e0de0b,1,18,18.000000,18
30f64336-9100-4dbf-b67b-4a2096a38da9,2,9,4.500000,7
c07ff153-9e23-4312-a895-634db3ee5e20,4,26,6.500000,12
da1a2d7f-932d-4a30-b182-c07ecc3443ac,6,13,2.166667,4
70aa3c86-1745-40da-9072-13ac3ed78efd,1,24,24.000000,24
686a875f-c72b-4803-b21d-8a7401fe132a,4,12,3.000000,5
a570d9cd-f8c7-4a04-acd2-701cc226b960,1,1,1.000000,1
91675abf-4d79-497f-8fa5-224ae0472254,2,23,11.500000,22
5ac34c91-a3b4-4a11-a940-a4babf02057f,5,18,3.600000,8
10c196fc-2c76-4e4b-b628-4472949c39c3,4,28,7.000000,10
2f38656b-76d5-4b46-a81d-c90b96495673,6,28,4.666667,12
31fa27b8-6c4d-47b2-8566-b4af4d9ca9e8,7,28,4.000000,12
f812d842-42ac-4a21-8073-f483c059ca2d,1,17,17.000000,17
2bef0281-b2d9-41ac-967c-45835e5ba8c0,7,26,3.714286,11
36027d15-9fa5-4ada-bf4b-ed5b5daa5587,1,4,4.000000,4
d4be492d-c9ee-46a0-b1ab-076386b61b85,1,1,1.000000,1
5a772c33-5555-4594-83d5-0410a67adc71,1,6,6.000000,6
7a26546e-0a07-423c-9e97-0ef56212920d,2,28,14.000000,24
039c70da-6930-47d6-bdfd-f1d429ade760,1,8,8.000000,8
2847c646-a1c3-45b5-815f-46681e3db9c1,2,20,10.000000,17
a1a87013-2cc1-4ab5-a85b-9fd21ffffe4b,1,22,22.000000,22
340b7157-11e5-4463-a088-59ca98df39cd,1,21,21.000000,21
505a6b31-fc4e-421d-9a42-4882535d0da2,1,7,7.000000,7
efca79c2-0b12-4ce7-a28f-68ad9193990d,3,25,8.333333,17
bf3f096b-5f9c-4174-ab8a-49e7a574f4c7,1,19,19.000000,19
cb8044c4-b13f-45a5-a981-ad46f7a15bd9,1,6,6.000000,6
df2d69ac-fbca-4b9e-8df4-d499bb27b403,1,18,18.000000,18
6a62a318-0245-4aa5-9f3f-a6e200f8724a,2,25,12.500000,13
5f118823-51ee-47bb-859f-1316523af0ed,6,22,3.666667,5
1f84d45e-8689-42bf-9ad5-0f9c8753fbde,1,3,3.000000,3
7413fd0f-0de7-4b60-b466-60b0bdd9a9c9,3,18,6.000000,10
ece552c2-b04a-49f3-a01f-244ea2be828f,4,17,4.250000,6
06bc34ca-c98b-4c0d-9276-b7cf78be600e,1,1,1.000000,1
4f2ed62c-2a18-4888-86c1-aa01ba21b64f,1,21,21.000000,21
0062535e-d9ab-4cb0-ae8f-79133b440129,1,25,25.000000,25
ac7c0dae-6fe3-48e3-97b7-ab62571a0eb1,5,26,5.200000,9
68e7ae29-15ff-402c-adc1-76d5a932c984,1,21,21.000000,21
fd026db8-dad8-4f55-8016-d469844b2862,1,19,19.000000,19
169a37aa-17e8-4998-adea-e8e08e08013f,1,2,2.000000,2
f61809d2-a428-4a2c-81e4-461ea9908687,3,20,6.666667,7
b8f4eb79-baaf-442b-ada2-5bcd5cf89df4,6,25,4.166667,10
d8d2f244-6fe8-4084-86a0-7a0763b579ce,1,24,24.000000,24
935eb020-a824-4cdc-9442-727a6d9e019e,1,17,17.000000,17
b811ccd0-a9ef-40ef-8326-d8efbf85e50f,1,19,19.000000,19
6bbe076c-62a2-4eae-9e57-e45c85c909b2,1,1,1.000000,1
b2adc949-f710-48f8-8159-5533f440730d,2,20,10.000000,18
b5ffd988-ffeb-4513-b78a-5806be0c7dbf,3,17,5.666667,14
e4ab94f4-8c05-4815-afbf-3470cfa23a6a,3,15,5.000000,7
7d7d8bee-c73e-4544-a78c-2d4e29f75749,1,18,18.000000,18
8d7e30ed-2eb2-48c9-ad99-3d0e8cf03e99,1,5,5.000000,5
2657b615-04b0-4c11-8343-1245c9c07676,3,22,7.333333,18
af421bd7-84d7-4b0b-b621-c9b4091d1b06,1,3,3.000000,3
519e56e4-9bbe-493d-9a82-70f9d8dc5c69,2,23,11.500000,20
0feedf09-ee01-43ea-9489-1b58a00ba227,1,15,15.000000,15
f4f25187-82c7-4265-9bf9-71bc8ed1701f,2,16,8.000000,15
e00872da-35ca-4faf-98f0-3eacdc654102,2,11,5.500000,10
39107c52-98c9-4a75-b505-271294fac465,9,26,2.888889,5
1729815c-0eca-4350-ab5c-5ce2c530fcd4,1,5,5.000000,5
ee629236-d81f-4548-822a-11f979d7f013,5,19,3.800000,6
f258256f-54bc-46fc-baca-9df34d5ff3ac,2,22,11.000000,17
33ee54b5-0d80-4b24-b785-abcf45ee1e3f,1,10,10.000000,10
1bc74fba-d84b-4bcc-9386-cb329e96d9e3,1,3,3.000000,3
a714a287-37fd-4f34-ad8a-46580b566abe,2,15,7.500000,8
18812d7d-3e1e-4084-ad30-79ac968a2fa5,2,24,12.000000,23
8e72a8bd-ae9b-460b-9573-aba4b21efb12,1,21,21.000000,21
d7969eaf-cd67-4ac5-b060-393d864f8525,1,12,12.000000,12
bf609a7c-229e-4dc7-82df-8162b6648e97,1,19,19.000000,19
4f84b332-20fa-45e8-b9e0-e9fd0839492a,2,18,9.000000,16
5771f07a-575e-4004-a3a5-db3ee44bb1b0,1,7,7.000000,7
a06a6baa-a68b-42fe-a709-0053627f90d7,2,18,9.000000,13
42a98cef-7642-414d-a916-237ceb0abbf6,2,9,4.500000,5
dca7d97b-a46b-482b-b513-4c3ef1fa7dbf,1,18,18.000000,18
68942969-0475-4a26-931b-d1d8043a659c,1,5,5.000000,5
59751180-e355-4bfc-b5a2-5c571dfc6efa,1,2,2.000000,2
21cbaff6-4d5f-4083-9edf-9523563b74ae,1,11,11.000000,11
c49c5729-6dda-416a-91d6-3fec37394388,1,9,9.000000,9
c15796a9-88e4-406f-bd36-788d0e579acd,1,4,4.000000,4
48a3cfba-dcdc-4833-886c-5cc284e12343,1,23,23.000000,23
faede4bf-624b-414f-8bff-7f3bbfc74f7b,1,18,18.000000,18
553ad3d4-3bb0-43b3-ad8a-356e97057a27,1,21,21.000000,21
23adb02f-8cae-4303-bbd5-f125e974560d,5,15,3.000000,7
e51675c9-0801-4428-adc3-cf4b532be589,1,2,2.000000,2
97c26efe-10d8-4b54-8918-61fce6c86e73,1,20,20.000000,20
5e5bd954-ae5a-4f7d-a16b-85bc7f3203e5,3,21,7.000000,11
51e67b1a-ddcd-479b-8d42-f1d1410e814d,3,4,1.333333,2
36a6b0df-5d2f-43d0-afd8-c151b0ebd25b,1,2,2.000000,2
9c552fa8-fe9f-4618-86af-58441f5987ae,1,23,23.000000,23
5d6b65a6-6a87-4085-900c-575ab429c359,2,14,7.000000,7
718eaf95-e9e2-42a2-ba4c-5316b5f45fdf,1,15,15.000000,15
94560f9c-6b13-4732-ac39-78f6d48a8133,1,1,1.000000,1
6ba68ba3-3aee-4198-9e5e-f659b55375bd,1,2,2.000000,2
5c2dcee3-4c6f-4ac5-bebf-393949ab845c,2,12,6.000000,7
374b89ae-6635-4710-aa3a-b1628e146d8a,1,1,1.000000,1
6ac4be27-6951-4110-953b-42994ca04dfc,1,2,2.000000,2
45408613-9964-47f1-ab70-7690b988b705,1,4,4.000000,4
8144d312-23f4-4c5b-b369-7f52ee2900c9,4,19,4.750000,9
ccf8bf15-e8fb-483c-83c9-e0523a2d0daa,1,1,1.000000,1
22d63a23-9d58-4c8c-b5fc-433ef6baa9fb,2,18,9.000000,17
0bf501d7-065a-4459-a4aa-29fb7b0e7d69,1,14,14.000000,14
78d36156-f985-41f2-b808-8ffa7a87f4b9,1,1,1.000000,1
6c1f708c-f3e9-4d9e-a0ae-311ba42c139a,1,3,3.000000,3
8aa0c34c-dda5-43e4-a825-202ddad15708,2,11,5.500000,10
27b1e11e-8d9e-467d-8636-df88f9641094,1,18,18.000000,18
15f3a523-0299-4249-8ccc-fee0b320040f,5,18,3.600000,7
2f843830-e489-45c6-a140-48ef168f7d3e,1,5,5.000000,5
618b27ad-6280-4709-8245-2f34c8e13f53,1,7,7.000000,7
17b99863-8bfd-492d-8451-374fd7cde36c,1,1,1.000000,1
bb4fc561-441d-4dc9-b9b0-9248820ad968,1,1,1.000000,1
c28aa37d-571e-4b43-bf01-aa14eeb765e7,2,16,8.000000,15
941cbc5b-b82c-4e79-98d7-87808e8819b9,1,9,9.000000,9
bb86048e-c4fd-4bc1-8fda-a4fb5b391a14,1,19,19.000000,19
142269c1-304f-434d-be4c-cbe566ba1379,1,12,12.000000,12
7df7a9b0-729a-40ef-9403-c28f90d19453,1,2,2.000000,2
a7b146b8-7a3c-4fdc-b0cd-416fa5b618c7,5,17,3.400000,4
823d6947-79a9-472f-8242-e07220bcaa02,1,12,12.000000,12
aea7bc17-b661-4da9-803a-347339e457bc,3,16,5.333333,8
a5f01fef-bcda-49d6-b726-2fe0d7a4e928,5,12,2.400000,4
5f993501-e331-41f8-88ef-8789acff3d7f,1,2,2.000000,2
475f6ef0-4e4c-4fdc-b24f-529a349d521e,1,1,1.000000,1
5e3d6bde-1451-4103-89a6-c67d81f63ed6,2,7,3.500000,6
f1f761d6-552f-4f35-be9e-b094d7b78160,1,15,15.000000,15
adf5227c-74ef-49bf-b9fc-2fb8cf302732,2,3,1.500000,2
9c862f56-7315-43ed-9922-be53b612c26b,1,9,9.000000,9
105b0c95-40d4-43ed-9328-6cbeb200183c,1,5,5.000000,5
e7dddb75-ce7a-4c4a-a047-cd3c7c12c4f7,1,1,1.000000,1
bc89da45-e92d-43b3-82e6-e4633ecdb0db,1,3,3.000000,3
bdc5938a-77a5-4148-8281-898e87238451,1,11,11.000000,11
fff9db58-c20e-4f2c-b07d-9937b70a1273,1,1,1.000000,1
e0d3387e-cac6-41e5-b9f5-963818301cf3,2,7,3.500000,4
53b3084a-f3e3-425b-899d-42dd80c2d0ef,7,10,1.428571,3
628a06f1-ca1e-4e6e-9b38-5e23da554b53,1,5,5.000000,5
a7f1b3c9-e8d6-4ed4-a7c3-2a17b414596a,1,1,1.000000,1
bc19c32d-a271-4dd7-b5e6-62d36d1a3128,1,8,8.000000,8
667dd617-b20d-4e76-bbd8-c70e206668c5,3,6,2.000000,3
c3af36ba-81f4-4652-9523-44f2217dc0f0,2,5,2.500000,4
1d39f953-a08e-494e-acf6-e594832b010a,1,3,3.000000,3
