assigned_id,nb_assigned_ids,nb_fingerprints,ownership,id_ownership
cf482598-2ee9-4b66-8836-ae4e46fce839,1,1,1.000000,7fd39831-e264-4ed0-a0b6-8d05bbcbb38c
f8fb3eb5-bc87-4457-a696-a8385d382496,1,2,1.000000,c17f5405-360e-43d7-9b50-bccf6faf2207
989ca8e0-2534-4ee9-a609-c69a990e4cd6,1,6,1.000000,299be603-a667-4e4b-9287-3e88c441d26c
dca4a7ce-d671-4005-9c6e-c01b0d2d6884,1,3,1.000000,907af844-581a-4044-8ddb-8bcc91df32f9
7a9df537-bb71-46c5-8ab0-cba9b1054b8a,1,4,1.000000,f2d0957c-12af-426d-8d09-fdbbb4e0de0b
413aea12-9cfe-4f79-8ce4-2f22d32c6240,2,10,0.600000,a06a6baa-a68b-42fe-a709-0053627f90d7
fcc2662b-3d39-447d-acc2-c30db24f0900,1,5,1.000000,c07ff153-9e23-4312-a895-634db3ee5e20
1ade9d13-9dd2-4739-83f6-9395a21abb07,1,3,1.000000,da1a2d7f-932d-4a30-b182-c07ecc3443ac
5a89ec1b-8338-4e55-896f-b4806b73e83d,1,6,1.000000,70aa3c86-1745-40da-9072-13ac3ed78efd
18f9eec4-172f-4e3a-bc9b-01656888267b,1,2,1.000000,686a875f-c72b-4803-b21d-8a7401fe132a
e228cbb5-363c-40ca-b6e9-d3e305008fa0,1,1,1.000000,a570d9cd-f8c7-4a04-acd2-701cc226b960
d5454111-fd8b-409b-aba6-6f1746ef37ea,2,5,0.800000,efca79c2-0b12-4ce7-a28f-68ad9193990d
6aed5672-d3a1-4329-a728-891f3c947bb7,1,2,1.000000,5ac34c91-a3b4-4a11-a940-a4babf02057f
c6e6b270-1475-474f-b68f-d87de04309b0,1,4,1.000000,10c196fc-2c76-4e4b-b628-4472949c39c3
20656bee-4d70-4680-a3c7-3c4ff8c2a635,1,4,1.000000,2f38656b-76d5-4b46-a81d-c90b96495673
62c92dea-3e7f-4099-86d8-36e29ddfedc9,3,6,0.500000,f258256f-54bc-46fc-baca-9df34d5ff3ac
40eb1344-e010-4297-86f1-bf0c57016d8b,1,9,1.000000,f812d842-42ac-4a21-8073-f483c059ca2d
f5a0f44b-e278-4ca9-a1a1-c372421bddc7,1,3,1.000000,2bef0281-b2d9-41ac-967c-45835e5ba8c0
e03a5009-403a-4afb-8cb6-f21d5bda1c29,1,2,1.000000,36027d15-9fa5-4ada-bf4b-ed5b5daa5587
5a850de6-1190-4004-bfbf-e18d9a0c47c3,1,1,1.000000,d4be492d-c9ee-46a0-b1ab-076386b61b85
ee5e93a5-553a-4a84-87ad-f9c177fbd632,1,3,1.000000,5a772c33-5555-4594-83d5-0410a67adc71
ec3cba52-84a1-42b7-9467-8018cd5a2a60,1,12,1.000000,7a26546e-0a07-423c-9e97-0ef56212920d
2c410f4a-d7a1-4cc6-9fc5-351f5f6a9773,1,4,1.000000,039c70da-6930-47d6-bdfd-f1d429ade760
101025ff-9836-48c6-ae4d-b02ba5d33db3,1,2,1.000000,2847c646-a1c3-45b5-815f-46681e3db9c1
6c5f60e5-83b2-4c9a-9fed-ab6f8e72a214,1,8,1.000000,a1a87013-2cc1-4ab5-a85b-9fd21ffffe4b
d9639261-e117-4a04-bdc5-6424baf64c8a,1,2,1.000000,340b7157-11e5-4463-a088-59ca98df39cd
b832ef5d-0971-41c2-8e02-835e878be475,1,4,1.000000,505a6b31-fc4e-421d-9a42-4882535d0da2
2a049a6b-e2a2-422e-834f-50eaa265812f,1,10,1.000000,bf3f096b-5f9c-4174-ab8a-49e7a574f4c7
09b599f1-c697-4b1e-a05c-4e3fea7ca2f4,1,3,1.000000,cb8044c4-b13f-45a5-a981-ad46f7a15bd9
1ab660e3-6053-409a-b651-22349a6882b4,1,2,1.000000,df2d69ac-fbca-4b9e-8df4-d499bb27b403
a9b38403-0368-4f09-864c-7f6fc5b2d8f9,1,7,1.000000,6a62a318-0245-4aa5-9f3f-a6e200f8724a
5af48f0a-98b0-46d2-9330-f429a5e7426d,1,2,1.000000,5f118823-51ee-47bb-859f-1316523af0ed
94e4aaad-0260-4085-8f2f-c44595240efd,1,2,1.000000,1f84d45e-8689-42bf-9ad5-0f9c8753fbde
0d9fb56b-5a58-4ece-9a41-5d4c0c761b17,1,3,1.000000,7413fd0f-0de7-4b60-b466-60b0bdd9a9c9
6bdd6b72-42e6-4f06-8fea-b44da9400a78,2,4,0.750000,ece552c2-b04a-49f3-a01f-244ea2be828f
2d5ec860-cc71-43ad-8f2c-4a02bc1155f7,1,1,1.000000,06bc34ca-c98b-4c0d-9276-b7cf78be600e
ca74b5ec-8f6f-4e7f-9845-d2708715d20f,1,11,1.000000,4f2ed62c-2a18-4888-86c1-aa01ba21b64f
fe1a1311-2fb1-45ad-85cc-689fb1d66f9a,1,2,1.000000,0062535e-d9ab-4cb0-ae8f-79133b440129
