real_id,nb_assigned_ids,nb_original_fp,ratio,max_chain
8d7e30ed-2eb2-48c9-ad99-3d0e8cf03e99,1,125,125.000000,125
8b10f12f-516a-44ee-9e79-134d040d1ef4,2,65,32.500000,57
18812d7d-3e1e-4084-ad30-79ac968a2fa5,3,164,54.666667,152
d4be492d-c9ee-46a0-b1ab-076386b61b85,13,112,8.615385,22
7f683754-6c34-4de6-b54f-367de9daf770,1,35,35.000000,35
5fe18d2a-1ec2-4075-adfc-637e282721b4,1,7,7.000000,7
1f84d45e-8689-42bf-9ad5-0f9c8753fbde,2,117,58.500000,88
2bef0281-b2d9-41ac-967c-45835e5ba8c0,34,162,4.764706,22
595525a1-8ff1-493d-bdef-74ecb74d182b,6,75,12.500000,36
a1e159d8-57d0-47b8-9d45-24df63d3595a,5,72,14.400000,40
768f8c65-6279-4be8-98a6-af3595dc5f5f,1,26,26.000000,26
68942969-0475-4a26-931b-d1d8043a659c,2,126,63.000000,112
efca79c2-0b12-4ce7-a28f-68ad9193990d,31,161,5.193548,21
2847c646-a1c3-45b5-815f-46681e3db9c1,4,150,37.500000,116
adf5227c-74ef-49bf-b9fc-2fb8cf302732,1,138,138.000000,138
b811ccd0-a9ef-40ef-8326-d8efbf85e50f,17,150,8.823529,21
06b6d1b3-dda3-4743-96f5-a45079ab6996,1,27,27.000000,27
0062535e-d9ab-4cb0-ae8f-79133b440129,12,162,13.500000,57
2c383b80-2256-4ece-81d4-c81290a10a14,13,118,9.076923,24
98c881d4-c19a-4d67-b99a-238515d05638,1,1,1.000000,1
29cc433b-5fc2-46f5-9183-c76d4be7a356,1,5,5.000000,5
f61809d2-a428-4a2c-81e4-461ea9908687,4,151,37.750000,101
e99b3521-4e62-4230-b899-85c9dbed1921,4,23,5.750000,11
6c1f708c-f3e9-4d9e-a0ae-311ba42c139a,7,129,18.428571,34
c28aa37d-571e-4b43-bf01-aa14eeb765e7,9,156,17.333333,30
a7f1b3c9-e8d6-4ed4-a7c3-2a17b414596a,1,147,147.000000,147
5d6b65a6-6a87-4085-900c-575ab429c359,12,145,12.083333,65
ecd9aab5-ddc6-4cf9-97f2-03e3018e6076,1,33,33.000000,33
bd02a352-b7dd-4dbf-a0df-245aab548fe9,1,51,51.000000,51
1d39f953-a08e-494e-acf6-e594832b010a,6,159,26.500000,57
c33e02f8-4665-4d6c-8781-4a5c991889da,1,95,95.000000,95
d7969eaf-cd67-4ac5-b060-393d864f8525,7,137,19.571429,88
9a750eec-46c2-4720-b481-a0d6f03af47b,1,98,98.000000,98
1a2a7fa6-a936-4e87-a513-50ea19f0483e,1,98,98.000000,98
2657b615-04b0-4c11-8343-1245c9c07676,6,155,25.833333,51
3284e414-8b55-431b-996f-5e5cf9e96ed9,1,116,116.000000,116
7ce6f4e7-3343-4519-8d80-7b97f0fa9e57,1,5,5.000000,5
6bbe076c-62a2-4eae-9e57-e45c85c909b2,8,111,13.875000,63
ad30762b-ff39-441d-a0f7-d388fcb65c5d,2,54,27.000000,51
5ac34c91-a3b4-4a11-a940-a4babf02057f,20,141,7.050000,17
6703acf0-f2c1-4b80-a158-fbbe091d3948,15,106,7.066667,36
a3f79161-ce4f-4ec0-9c53-67b5d89375d4,1,4,4.000000,4
bb86048e-c4fd-4bc1-8fda-a4fb5b391a14,2,159,79.500000,105
1729815c-0eca-4350-ab5c-5ce2c530fcd4,2,121,60.500000,70
8e7f3b7f-2631-4b94-a2ae-31e8f02f07cd,1,9,9.000000,9
f4f25187-82c7-4265-9bf9-71bc8ed1701f,13,142,10.923077,31
be62454c-9208-4099-9ed2-02aa2de09509,1,3,3.000000,3
b31c10f0-ddb3-4d3f-b6b1-6ac865523ec8,9,63,7.000000,16
30f64336-9100-4dbf-b67b-4a2096a38da9,4,123,30.750000,100
5e3d6bde-1451-4103-89a6-c67d81f63ed6,2,140,70.000000,129
849e3617-6a09-4b25-8eb9-efdae87a793c,2,117,58.500000,116
8e72a8bd-ae9b-460b-9573-aba4b21efb12,5,152,30.400000,95
17b99863-8bfd-492d-8451-374fd7cde36c,2,123,61.500000,71
628a06f1-ca1e-4e6e-9b38-5e23da554b53,10,153,15.300000,58
15f3a523-0299-4249-8ccc-fee0b320040f,10,156,15.600000,63
8a0fe7de-deff-4ffa-acbf-192cb2d37b39,4,20,5.000000,8
1bc74fba-d84b-4bcc-9386-cb329e96d9e3,2,117,58.500000,116
553ad3d4-3bb0-43b3-ad8a-356e97057a27,1,153,153.000000,153
c17f5405-360e-43d7-9b50-bccf6faf2207,2,159,79.500000,158
3080614b-46eb-4c0d-b1ff-b9dc13bbc44b,1,11,11.000000,11
b10b18e5-cc00-4fd7-9fba-b538c181d05b,7,82,11.714286,44
4f84b332-20fa-45e8-b9e0-e9fd0839492a,11,146,13.272727,30
5e1920ed-d676-4151-a8ff-1153e7b7561f,1,62,62.000000,62
68e7ae29-15ff-402c-adc1-76d5a932c984,7,148,21.142857,34
e51675c9-0801-4428-adc3-cf4b532be589,2,114,57.000000,62
b34a8c1a-f43f-4635-9799-9891ed21239a,1,1,1.000000,1
142269c1-304f-434d-be4c-cbe566ba1379,9,144,16.000000,62
b8f4eb79-baaf-442b-ada2-5bcd5cf89df4,12,156,13.000000,52
06bc34ca-c98b-4c0d-9276-b7cf78be600e,4,107,26.750000,46
8537fdf9-7619-499b-b288-a3cfa1ee546f,2,64,32.000000,63
a06a6baa-a68b-42fe-a709-0053627f90d7,12,145,12.083333,33
5e5bd954-ae5a-4f7d-a16b-85bc7f3203e5,2,153,76.500000,132
4f2ed62c-2a18-4888-86c1-aa01ba21b64f,10,147,14.700000,48
be47e9a1-0600-40bc-8360-0fc2c99c4ca2,3,18,6.000000,7
21cbaff6-4d5f-4083-9edf-9523563b74ae,1,130,130.000000,130
4d49cfb2-841d-4a04-81cb-7d1b39a507b4,1,76,76.000000,76
9a8ce184-8911-4e32-be51-261497e0d919,1,86,86.000000,86
49fcf025-22ca-4e4b-85b8-278b855e63b7,1,77,77.000000,77
bc89da45-e92d-43b3-82e6-e4633ecdb0db,1,140,140.000000,140
639303f6-00f5-4aec-a487-291f27972688,2,44,22.000000,29
bc19c32d-a271-4dd7-b5e6-62d36d1a3128,7,157,22.428571,47
2dd5f116-f355-4d81-9790-cb050463be55,1,59,59.000000,59
105b0c95-40d4-43ed-9328-6cbeb200183c,1,136,136.000000,136
bf3f096b-5f9c-4174-ab8a-49e7a574f4c7,6,141,23.500000,49
5f118823-51ee-47bb-859f-1316523af0ed,13,146,11.230769,51
71c102e5-a364-450a-b233-6c5e2976b9d1,1,84,84.000000,84
31fa27b8-6c4d-47b2-8566-b4af4d9ca9e8,18,156,8.666667,61
a2969fda-e1ea-4d11-8d21-b5fa826c0666,3,17,5.666667,8
a4869a14-7941-461e-89f4-ea6e19a3866b,1,65,65.000000,65
8758fefb-3ed1-4d64-b75d-b9e3d628eef3,7,54,7.714286,27
5d5b6794-5e6a-45d4-a508-e6ad12155d53,1,74,74.000000,74
4c7e79d1-ebd0-40e5-97cc-5156fe65e1ac,2,95,47.500000,88
47bad423-2418-4435-83c8-08ba94003d14,5,95,19.000000,48
b63742da-5e1c-45af-90ad-17c4303b044e,1,65,65.000000,65
5f993501-e331-41f8-88ef-8789acff3d7f,5,122,24.400000,79
15c7af42-87ad-4bc8-92fa-52ae8f2040fa,1,60,60.000000,60
7e2037cd-4943-4935-a393-43fc5c390c87,2,94,47.000000,91
9b9c8be4-8e25-413a-8928-7da271e119ca,3,65,21.666667,42
36027d15-9fa5-4ada-bf4b-ed5b5daa5587,5,107,21.400000,82
340b7157-11e5-4463-a088-59ca98df39cd,1,140,140.000000,140
7df7a9b0-729a-40ef-9403-c28f90d19453,3,121,40.333333,70
0feedf09-ee01-43ea-9489-1b58a00ba227,4,134,33.500000,50
5771f07a-575e-4004-a3a5-db3ee44bb1b0,1,119,119.000000,119
5f93621b-e9a9-451b-8d30-165dae1653c2,4,68,17.000000,50
935eb020-a824-4cdc-9442-727a6d9e019e,1,134,134.000000,134
24aa014e-055c-4925-85de-d3541e3d0bef,1,7,7.000000,7
39107c52-98c9-4a75-b505-271294fac465,44,153,3.477273,15
f80e3924-ebe8-4e2b-8fc1-f8040e9b541d,1,45,45.000000,45
75f1c4e9-4841-4159-a021-44ff5c150d37,1,5,5.000000,5
10c196fc-2c76-4e4b-b628-4472949c39c3,13,153,11.769231,28
